teamid,yearid,count,sum
MON,2000,1044,1187795988
TOR,2000,1000,1793533280
BAL,2000,1827,5131188405
MIL,2000,608,693601327
HOU,2000,1485,2820901105
LAN,2000,1534,5187532874
SDN,2000,1440,2631408000
SEA,2000,1040,2356600000
ARI,2000,532,1539528827
TEX,2000,1170,3185816445
DET,2000,3132,6758759372
FLO,2000,532,377568000
OAK,2000,1323,1566595317
KCA,2000,1344,1124784000
ATL,2000,1530,4311429636
COL,2000,672,1466668560
PIT,2000,3380,3760683420
MIN,2000,1456,925092000
TBA,2000,589,1192537451
SFN,2000,1534,3170531734
CIN,2000,3429,5952134400
NYA,2000,3192,10526561640
PHI,2000,3886,6339272000
CHA,2000,3364,3611486000
CLE,2000,3016,8802169436
CHN,2000,4230,8536045953
NYN,2000,1375,4373037680
SLN,2000,3375,7681732875
ANA,2000,240,411713336
BOS,2000,3480,9041078628
CHN,2001,3807,9124932453
TOR,2001,1120,3075839960
HOU,2001,1540,3333696685
SFN,2001,1593,3733529853
ARI,2001,532,1616576981
MIL,2001,532,833849827
FLO,2001,589,679487500
CLE,2001,3480,10805632116
NYN,2001,1595,5124593540
SLN,2001,3750,9817291625
LAN,2001,1711,6437251227
OAK,2001,1323,1656726750
MIN,2001,1512,1351280000
ATL,2001,1581,4688744466
MON,2001,1116,1265742000
COL,2001,624,1716992016
SEA,2001,1120,2988833360
TBA,2001,513,1082620000
BOS,2001,3712,12764156628
DET,2001,3248,6196275372
ANA,2001,240,380281336
NYA,2001,3534,12800734302
CHA,2001,3132,7615825372
CIN,2001,3429,6221222000
PIT,2001,4030,7508908290
SDN,2001,1344,1880775984
TEX,2001,1395,3988507500
KCA,2001,1344,1700280000
PHI,2001,3484,5582953622
BAL,2001,1827,4258771020
LAN,2002,1534,5596206227
NYA,2002,3306,14355858462
ANA,2002,224,493773336
DET,2002,3248,6385568000
OAK,2002,1323,1960204183
FLO,2002,532,797618423
MON,2002,1008,1392138000
PHI,2002,3752,7765969866
PIT,2002,3770,5502067870
HOU,2002,1485,3489662935
KCA,2002,1392,2268336000
TEX,2002,1260,4748675490
ARI,2002,627,1953579981
CIN,2002,3810,5721399530
BAL,2002,2016,3811089681
TOR,2002,1160,3074573320
COL,2002,648,1364425032
CLE,2002,3480,9153496084
BOS,2002,3480,12570462960
MIL,2002,551,955468827
TBA,2002,532,653220000
MIN,2002,1512,2263800000
SLN,2002,3250,9332609375
CHN,2002,3948,10672407453
SDN,2002,1392,1988400000
CHA,2002,3132,6618128628
ATL,2002,1428,4736388717
SEA,2002,1000,3211306720
NYN,2002,1430,5204847615
SFN,2002,1593,4619690265
SEA,2003,1080,3478366680
SLN,2003,3875,10473333250
LAN,2003,1475,6228784580
MIN,2003,1456,3108280000
ARI,2003,475,1532483000
MON,2003,936,1870146000
KCA,2003,1248,1944864000
TEX,2003,1350,4657125015
SDN,2003,1440,2170080000
NYN,2003,1540,6428203595
TBA,2003,475,372970000
CLE,2003,3596,5635840744
TOR,2003,1080,2050760000
CHA,2003,3016,5917160000
CHN,2003,3948,11261434953
SFN,2003,1534,4888277853
DET,2003,3016,5703488000
BAL,2003,1827,4654282500
MIL,2003,551,771913000
FLO,2003,570,939550000
COL,2003,720,1612312008
CIN,2003,3556,7538169709
ATL,2003,1377,5418427017
PIT,2003,3640,7125615770
ANA,2003,216,632253336
NYA,2003,3192,17413478796
PHI,2003,3886,9484520000
BOS,2003,3132,11593794000
OAK,2003,1274,2462780866
HOU,2003,1430,3907200000
CHA,2004,3016,7564650000
ATL,2004,1428,4599307500
ARI,2004,551,1325834250
SFN,2004,1829,4839130794
SLN,2004,3250,10403541625
MON,2004,1044,1472310000
FLO,2004,513,800717798
KCA,2004,1440,2285232000
MIN,2004,1456,3000760000
TBA,2004,513,561576673
HOU,2004,1375,4146835000
CIN,2004,3556,5920136750
SEA,2004,1120,3260633360
NYA,2004,3306,20998110300
LAN,2004,1593,5481218059
BAL,2004,1764,3252269979
TEX,2004,1305,2477268765
ANA,2004,216,804277336
BOS,2004,3480,14766626000
PIT,2004,3510,4189630770
DET,2004,3248,5432512000
CLE,2004,3480,3981038800
COL,2004,672,1570684008
TOR,2004,1040,2000680000
MIL,2004,475,523041500
CHN,2004,4089,12768960000
SDN,2004,1248,2658471984
NYN,2004,1540,5316353350
OAK,2004,1372,2911857683
PHI,2004,3484,12451168378
SFN,2005,1534,5321770500
MIN,2005,1512,3146416000
FLO,2005,513,1147767846
ARI,2005,513,1184254154
OAK,2005,1274,2715862338
NYA,2005,2964,23746977138
WAS,2005,600,971630000
TBA,2005,551,563902273
SEA,2005,1280,3510173360
KCA,2005,1296,1770288000
DET,2005,3248,8014672000
COL,2005,696,1148136000
SLN,2005,3250,11513354125
ATL,2005,1275,4409322402
LAN,2005,1770,4899301000
BOS,2005,3248,14326594500
MIL,2005,475,758761827
TOR,2005,1040,1828780000
SDN,2005,1344,3037959984
CLE,2005,3364,4814290000
CHA,2005,3132,8720648000
NYN,2005,1485,5571820155
PIT,2005,3640,4957290000
PHI,2005,3484,12799948000
LAA,2005,464,1517885152
TEX,2005,1395,2513205000
BAL,2005,1764,4656602979
HOU,2005,1430,4222845000
CHN,2005,3948,12271643553
CIN,2005,3810,7860358041
CLE,2006,2900,6499654000
PHI,2006,3618,11828626622
MIL,2006,494,1093798327
PIT,2006,3640,6073307500
MIN,2006,1456,3550176336
ATL,2006,1479,4598000676
SLN,2006,3375,11111421375
TOR,2006,1040,2854600000
CIN,2006,3556,7735508913
TBA,2006,513,663441373
ARI,2006,494,1134000294
OAK,2006,1225,3049910871
DET,2006,3248,9583092456
LAN,2006,1652,5808384033
LAA,2006,400,1655552000
BOS,2006,3132,13931579584
BAL,2006,1764,4572891666
COL,2006,768,989592000
SDN,2006,1344,3355014768
CHN,2006,3948,13313854359
TEX,2006,1395,3070289790
HOU,2006,1375,4878193925
WAS,2006,620,1262860000
SEA,2006,1080,3518393320
SFN,2006,1534,5313328721
NYN,2006,1485,5559672965
CHA,2006,3016,11919077372
FLO,2006,475,278758500
KCA,2006,1392,2270112000
NYA,2006,3192,22191591006
KCA,2007,1488,3221592000
NYA,2007,3192,21575531130
HOU,2007,1485,4826745000
LAA,2007,480,1748021328
SLN,2007,3500,11285852875
WAS,2007,560,738950000
CLE,2007,3364,7154098972
PHI,2007,4020,11983380542
ARI,2007,532,989283374
FLO,2007,589,579633000
ATL,2007,1428,4451832483
CHA,2007,3016,12605932628
CHN,2007,3807,14053516812
PIT,2007,3510,5009918290
CIN,2007,3937,8702672460
SDN,2007,1248,2789307216
TBA,2007,513,458346500
SFN,2007,1534,5322924304
SEA,2007,1080,4258433320
NYN,2007,1650,6337741465
LAN,2007,1711,6398816916
TEX,2007,1260,3074340375
MIL,2007,513,1348743500
TOR,2007,1080,3277712000
BAL,2007,1701,5870012904
MIN,2007,1568,4000612000
BOS,2007,3248,16591040824
OAK,2007,1372,3888980060
COL,2007,624,1296984000
DET,2007,3364,10996842804
FLO,2008,627,414418500
OAK,2008,1372,2350389174
TEX,2008,1305,3047054670
BOS,2008,3248,15473244060
LAN,2008,1711,6996723624
TOR,2008,1080,3911756000
SDN,2008,1488,3536525568
MIN,2008,1400,3188234896
COL,2008,624,1647732000
MIL,2008,551,1537812481
SEA,2008,1040,4706659280
WAS,2008,580,1099220000
KCA,2008,1248,2795784000
PHI,2008,3752,13115903920
HOU,2008,1485,4891172770
CIN,2008,3556,9412947265
PIT,2008,3380,6329671790
NYA,2008,3420,23700233946
CLE,2008,3016,9160527656
CHN,2008,3807,16686762453
NYN,2008,1650,7578635680
SFN,2008,1711,4519075500
DET,2008,3480,15971482736
LAA,2008,464,1907461328
SLN,2008,4125,12453056125
BAL,2008,2016,4233363498
CHA,2008,3132,14057962512
ATL,2008,1530,5220649833
TBA,2008,570,832591343
ARI,2008,532,1257851528
TBA,2009,551,1202947646
WAS,2009,560,1198560000
NYA,2009,2964,22965207546
TEX,2009,1305,3068045910
OAK,2009,1323,3033590000
DET,2009,3248,13349876820
SDN,2009,1296,2080017600
PIT,2009,3380,6330090000
CIN,2009,2921,9341929500
FLO,2009,532,699846000
CLE,2009,3132,9463183256
KCA,2009,1248,3384927984
ATL,2009,1479,4933034466
CHA,2009,3016,11143946000
BOS,2009,3364,14076135884
SEA,2009,1120,3956166640
NYN,2009,1540,8215569285
COL,2009,648,1804824000
PHI,2009,3618,15142542164
ARI,2009,494,1389197654
LAN,2009,1475,5924460928
MIN,2009,1624,3656758896
CHN,2009,3525,19008069000
LAA,2009,448,1819344000
SLN,2009,3375,11066051125
SFN,2009,1652,4898560550
BAL,2009,1638,4227404958
MIL,2009,494,1523467538
TOR,2009,1120,3221532000
HOU,2009,1485,5664802770
DET,2010,3132,14252331648
CHN,2010,3807,20671869000
PHI,2010,3752,19018402786
CIN,2010,3302,9113715834
PIT,2010,3510,4542590000
SLN,2010,3125,11692593875
HOU,2010,1540,5079552500
KCA,2010,1296,3427450080
COL,2010,696,2021448000
CHA,2010,3016,12241480000
TEX,2010,1305,2486274480
FLO,2010,513,1083564661
ARI,2010,494,1153645154
SEA,2010,1120,3460400000
WAS,2010,600,1228000000
OAK,2010,1568,2707490100
SFN,2010,1652,5819838647
BAL,2010,1638,5141587500
ATL,2010,1377,4305606966
SDN,2010,1248,1814366400
LAN,2010,1593,5626122944
BOS,2010,3364,18843890628
MIN,2010,1568,5463313296
MIL,2010,551,1541057282
NYN,2010,1540,7393261810
NYA,2010,2850,23522006346
TBA,2010,513,1366545949
LAA,2010,464,1679421856
TOR,2010,1200,2489360000
CLE,2010,3364,7099660056
COL,2011,624,2115553704
KCA,2011,1248,1714176000
SEA,2011,1160,3444424000
DET,2011,3132,12261226796
BOS,2011,3132,18764447100
NYA,2011,3306,23059353192
PIT,2011,3770,5856110000
BAL,2011,1638,5374154394
SDN,2011,1488,2201718720
SLN,2011,3375,13179196500
LAA,2011,496,2216690656
TEX,2011,1305,4153466880
OAK,2011,1372,3260288500
SFN,2011,1593,6973701647
CLE,2011,3364,5658081656
LAN,2011,1770,6147150941
TOR,2011,1240,2502712000
MIL,2011,570,1624449327
NYN,2011,1485,6536601995
CHA,2011,3132,14823524000
CHN,2011,3525,17631673389
TBA,2011,494,780017849
WAS,2011,580,1277138560
ARI,2011,513,1019156827
PHI,2011,4020,23178834786
ATL,2011,1326,4437137292
MIN,2011,1400,6313272000
HOU,2011,1595,3888170000
FLO,2011,494,1081936000
CIN,2011,3810,9645286018
OAK,2012,1470,2713252500
MIA,2012,135,590390000
NYA,2012,3306,22403540946
CHN,2012,3666,12435781653
SFN,2012,1770,6939620297
COL,2012,696,1873669704
MIN,2012,1512,5268760000
MIL,2012,494,1855424936
BAL,2012,1764,4873301937
KCA,2012,1440,2923978800
SEA,2012,1120,3279124000
TEX,2012,1170,5422993830
TBA,2012,532,1219296500
BOS,2012,3944,20089647572
PHI,2012,4020,23388217692
HOU,2012,1430,3335805000
CLE,2012,3364,9097914800
PIT,2012,3640,8183759870
CHA,2012,2900,11242662000
LAA,2012,464,2471762656
LAN,2012,1770,5613470925
WAS,2012,600,1617102860
DET,2012,3364,15346800000
TOR,2012,1080,3000368000
ARI,2012,513,1402291827
NYN,2012,1485,5134469065
SDN,2012,1344,2651745600
SLN,2012,3500,13787607750
CIN,2012,3556,10439859232
ATL,2012,1479,4224327042
SDN,2013,1344,3148104000
CHN,2013,3666,14180049366
PHI,2013,3484,22761667326
BAL,2013,1638,5316779979
SFN,2013,1652,8270639706
ATL,2013,1377,4481447775
SEA,2013,1040,2960201720
CHA,2013,3248,13927572132
WAS,2013,500,2274065400
HOU,2013,1210,983988500
BOS,2013,3364,17577480000
DET,2013,2784,16934782000
ARI,2013,570,1712508000
KCA,2013,1296,3844402800
TEX,2013,1305,5063517000
TOR,2013,1240,5051524000
LAN,2013,1888,13178369564
COL,2013,600,1785817704
OAK,2013,1519,2946492500
PIT,2013,3640,10018060000
NYA,2013,3534,26445593004
CIN,2013,3175,13513366674
LAA,2013,416,1986796000
TBA,2013,437,1006150168
MIL,2013,475,1461993627
SLN,2013,3500,11532513750
MIA,2013,120,168009500
CLE,2013,3248,8789528800
MIN,2013,1512,4218900000
NYN,2013,1650,2719659030
MIN,2014,1512,4690700000
TEX,2014,1080,5051477655
NYA,2014,2736,22520005398
SDN,2014,1344,3632913600
BOS,2014,3596,16126311764
MIA,2014,135,209184500
ARI,2014,494,1859368500
ATL,2014,1224,4978059000
WAS,2014,600,2639673600
TOR,2014,1000,4396804000
DET,2014,2668,17731238000
MIL,2014,513,1923123000
LAN,2014,1888,12803861400
CLE,2014,3016,9529620284
LAA,2014,432,1951812000
NYN,2014,1485,4705634450
SFN,2014,1652,9647099853
HOU,2014,1100,1931396500
KCA,2014,1200,3580515600
BAL,2014,1764,6515208000
TBA,2014,475,1381092900
CIN,2014,3556,13743622500
SLN,2014,3500,15086625000
PIT,2014,3640,10033140000
SEA,2014,1000,3701244000
COL,2014,720,2289684000
CHN,2014,3807,9238672500
OAK,2014,1274,3548011600
PHI,2014,4288,24246625578
CHA,2014,2784,9492338000
ATL,2015,1224,3660843750
SEA,2015,1000,4888348000
PHI,2015,3484,14966862000
CLE,2015,3364,10168996856
MIN,2015,1400,6034280000
BAL,2015,1764,7247824479
MIA,2015,120,340282500
OAK,2015,1372,3873621549
TBA,2015,551,1225903427
HOU,2015,1540,3974091000
DET,2015,2900,19985031000
CHN,2015,3948,16338982710
NYA,2015,3306,24253723098
SFN,2015,1593,9717388500
WAS,2015,580,3111749440
SLN,2015,3250,14905187500
MIL,2015,551,1916150000
ARI,2015,551,1174846000
COL,2015,600,2296526400
LAN,2015,1711,12731728000
SDN,2015,1248,5685182400
BOS,2015,3712,21007994400
TOR,2015,1000,4519696000
CIN,2015,3429,14360180322
NYN,2015,1375,5322167565
CHA,2015,3132,13035349200
PIT,2015,3770,11556024870
KCA,2015,1296,5381137200
TEX,2015,1350,6468425505
LAA,2015,432,1920086640
CIN,2016,3683,11295387493
SFN,2016,1475,10162972902
DET,2016,3596,22605671796
PIT,2016,3640,13491248290
CLE,2016,3132,8620180400
SDN,2016,1296,4868391072
TBA,2016,532,1084848890
TEX,2016,1305,7921742535
TOR,2016,1160,5548068000
LAN,2016,2065,13056014420
CHA,2016,2900,13107845372
BOS,2016,3364,21871308276
LAA,2016,416,2196021328
WAS,2016,520,2833052920
PHI,2016,3886,7903320000
HOU,2016,1540,5219153500
OAK,2016,1470,4253505466
BAL,2016,1827,10197397728
ATL,2016,1479,3493412841
KCA,2016,1392,6311382000
MIA,2016,140,386571010
ARI,2016,494,1661342197
SEA,2016,1120,5427333560
NYA,2016,3306,25421748288
SLN,2016,3875,17881687500
MIN,2016,1344,5744659200
MIL,2016,570,1306729503
CHN,2016,4089,21723541188
NYN,2016,1485,7363902095
COL,2016,792,2703481704
